x [mm],y [mm],Beam dist
24.75,-42.75,0.00250122
25.25,-42.75,0.00237004
25.75,-42.75,0.00223886
26.25,-42.75,0.00210768
26.75,-42.75,0.00200778
27.25,-42.75,0.00190788
27.75,-42.75,0.00180799
28.25,-42.75,0.00170809
28.75,-42.75,0.00160819
29.25,-42.75,0.00153394
29.75,-42.75,0.00145969
30.25,-42.75,0.00138544
30.75,-42.75,0.00131118
31.25,-42.75,0.00123693
31.75,-42.75,0.00118021
32.25,-42.75,0.0011235
32.75,-42.75,0.00106678
33.25,-42.75,0.00101006
33.75,-42.75,0.000953343
34.25,-42.75,0.000904313
34.75,-42.75,0.000855282
35.25,-42.75,0.000806252
35.75,-42.75,0.000757221
36.25,-42.75,0.000708191
36.75,-42.75,0.000643612
37.25,-42.75,0.000579034
37.75,-42.75,0.000514455
38.25,-42.75,0.000449877
38.75,-42.75,0.000385298
39.25,-42.75,0.000318071
